Date,Unit,Average Load (MW),Power Generation (MWh)
2025-07-31,Unit 2,92.36,2192.67
2025-07-31,Unit 3,87.24,2127.74
2025-08-01,Unit 1,79.85,1952.14
2025-08-01,Unit 2,81.69,1986.45
2025-08-01,Unit 3,88.42,2145.45
2025-08-02,Unit 1,100.0,2342.27
2025-08-02,Unit 2,85.75,2037.03
2025-08-02,Unit 3,91.47,2174.61
2025-08-03,Unit 1,98.34,2369.43
2025-08-03,Unit 2,87.08,2079.82
2025-08-03,Unit 3,94.11,2289.71
2025-08-04,Unit 1,91.88,2229.92
2025-08-04,Unit 2,78.47,1862.44
2025-08-04,Unit 3,87.33,2110.08
2025-08-05,Unit 1,87.79,2100.22
2025-08-05,Unit 2,94.78,2251.91
2025-08-05,Unit 3,95.21,2283.42
2025-08-06,Unit 1,86.75,2050.26
2025-08-06,Unit 2,100.0,2425.69
2025-08-06,Unit 3,93.81,2241.75
2025-08-07,Unit 1,100.0,2421.64
2025-08-07,Unit 2,83.61,1980.42
2025-08-07,Unit 3,100.0,2371.88
2025-08-08,Unit 1,92.67,2174.15
2025-08-08,Unit 2,91.18,2174.67
2025-08-08,Unit 3,77.46,1829.1
2025-08-09,Unit 1,87.13,2097.09
2025-08-09,Unit 2,88.54,2112.94
2025-08-09,Unit 3,86.88,2064.59
2025-08-10,Unit 1,91.87,2205.76
2025-08-10,Unit 2,90.82,2198.9
2025-08-10,Unit 3,88.39,2181.09
2025-08-11,Unit 1,83.3,1957.08
2025-08-11,Unit 2,83.06,2004.5
2025-08-11,Unit 3,80.78,1941.0
2025-08-12,Unit 1,81.03,1898.06
2025-08-12,Unit 2,94.7,2248.39
2025-08-12,Unit 3,93.27,2260.45
2025-08-13,Unit 1,89.62,2155.09
2025-08-13,Unit 2,91.85,2187.51
2025-08-13,Unit 3,92.21,2253.83
2025-08-14,Unit 1,100.0,2406.36
2025-08-14,Unit 2,77.07,1806.22
2025-08-14,Unit 3,90.0,2151.35
2025-08-15,Unit 1,100.0,2390.8
2025-08-15,Unit 2,75.29,1824.97
2025-08-15,Unit 3,90.76,2214.27
2025-08-16,Unit 1,85.9,2065.13
2025-08-16,Unit 2,95.08,2272.03
2025-08-16,Unit 3,82.5,1994.65
2025-08-17,Unit 1,87.73,2095.57
2025-08-17,Unit 2,90.42,2171.59
2025-08-17,Unit 3,100.0,2345.48
2025-08-18,Unit 1,86.74,2101.59
2025-08-18,Unit 2,87.26,2079.99
2025-08-18,Unit 3,94.12,2245.91
2025-08-19,Unit 1,90.24,2160.6
2025-08-19,Unit 2,74.57,1801.93
2025-08-19,Unit 3,82.53,2010.26
2025-08-20,Unit 1,98.03,2312.45
2025-08-20,Unit 2,94.61,2297.43
2025-08-20,Unit 3,82.77,1980.09
2025-08-21,Unit 1,86.51,2059.5
2025-08-21,Unit 2,89.41,2142.03
2025-08-21,Unit 3,70.0,1687.91
2025-08-22,Unit 1,96.3,2329.78
2025-08-22,Unit 2,80.49,1971.58
2025-08-22,Unit 3,84.89,2058.65
2025-08-23,Unit 1,85.06,2055.73
2025-08-23,Unit 2,97.96,2347.23
2025-08-23,Unit 3,94.24,2231.56
2025-08-24,Unit 1,85.27,2077.56
2025-08-24,Unit 2,89.54,2147.96
2025-08-24,Unit 3,87.94,2116.2
2025-08-25,Unit 1,89.91,2156.38
2025-08-25,Unit 2,91.96,2198.65
2025-08-25,Unit 3,90.02,2144.16
2025-08-26,Unit 1,91.46,2178.45
2025-08-26,Unit 2,89.34,2159.54
2025-08-26,Unit 3,96.91,2325.47
2025-08-27,Unit 1,82.9,1972.35
2025-08-27,Unit 2,81.48,1941.68
2025-08-27,Unit 3,84.43,2073.01
2025-08-28,Unit 1,84.61,2046.8
2025-08-28,Unit 2,100.0,2381.26
2025-08-28,Unit 3,89.83,2161.43
2025-08-29,Unit 1,94.5,2243.48
2025-08-29,Unit 2,94.25,2271.21
2025-08-29,Unit 3,100.0,2410.8
2025-08-30,Unit 1,85.96,2065.65
2025-08-30,Unit 2,78.78,1908.21
2025-08-30,Unit 3,91.03,2172.82
2025-08-31,Unit 1,94.16,2234.05
2025-08-31,Unit 2,83.07,2003.85
2025-08-31,Unit 3,93.14,2225.93
2025-09-01,Unit 1,100.0,2377.79
2025-09-01,Unit 2,87.12,2103.28
2025-09-01,Unit 3,86.63,2014.75
2025-09-02,Unit 1,90.76,2168.22
2025-09-02,Unit 2,89.49,2114.04
2025-09-02,Unit 3,100.0,2419.94
2025-09-03,Unit 1,81.96,1992.38
2025-09-03,Unit 2,92.27,2237.75
2025-09-03,Unit 3,100.0,2381.53
2025-09-04,Unit 1,81.31,1952.13
2025-09-04,Unit 2,99.51,2401.68
2025-09-04,Unit 3,83.23,2009.63
2025-09-05,Unit 1,80.98,1964.33
2025-09-05,Unit 2,79.99,1920.23
2025-09-05,Unit 3,96.3,2306.31
2025-09-06,Unit 1,97.72,2359.43
2025-09-06,Unit 2,86.46,2075.18
2025-09-06,Unit 3,89.49,2157.48
2025-09-07,Unit 1,90.24,2137.27
2025-09-07,Unit 2,81.11,1941.8
2025-09-07,Unit 3,84.22,2038.21
2025-09-08,Unit 1,94.95,2307.84
2025-09-08,Unit 2,83.91,2007.75
2025-09-08,Unit 3,100.0,2413.35
2025-09-09,Unit 1,82.78,1982.56
2025-09-09,Unit 2,89.88,2145.98
2025-09-09,Unit 3,75.9,1808.81
2025-09-10,Unit 1,72.73,1732.99
2025-09-10,Unit 2,100.0,2404.16
2025-09-10,Unit 3,98.85,2366.46
2025-09-11,Unit 1,87.45,2076.82
2025-09-11,Unit 2,95.29,2268.51
2025-09-11,Unit 3,91.98,2233.01
2025-09-12,Unit 1,92.34,2205.51
2025-09-12,Unit 2,82.0,2011.89
2025-09-12,Unit 3,88.24,2111.42
2025-09-13,Unit 1,70.0,1690.89
2025-09-13,Unit 2,80.76,1952.65
2025-09-13,Unit 3,85.34,2056.23
2025-09-14,Unit 1,94.74,2272.15
2025-09-14,Unit 2,97.28,2334.05
2025-09-14,Unit 3,91.47,2201.25
2025-09-15,Unit 1,87.8,2098.12
2025-09-15,Unit 2,82.75,1988.85
2025-09-15,Unit 3,72.25,1782.41
2025-09-16,Unit 1,90.19,2197.6
2025-09-16,Unit 2,100.0,2414.43
2025-09-16,Unit 3,86.78,2061.55
2025-09-17,Unit 1,89.28,2113.28
2025-09-17,Unit 2,99.46,2403.25
2025-09-17,Unit 3,89.69,2131.41
2025-09-18,Unit 1,89.44,2170.94
2025-09-18,Unit 2,88.95,2113.23
2025-09-18,Unit 3,89.13,2160.41
2025-09-19,Unit 1,77.58,1833.75
2025-09-19,Unit 2,84.97,2025.06
2025-09-19,Unit 3,90.63,2169.41
2025-09-20,Unit 1,100.0,2407.99
2025-09-20,Unit 2,100.0,2408.5
2025-09-20,Unit 3,95.28,2283.85
2025-09-21,Unit 1,88.76,2120.26
2025-09-21,Unit 2,100.0,2408.79
2025-09-21,Unit 3,91.57,2217.05
2025-09-22,Unit 1,93.75,2255.03
2025-09-22,Unit 2,91.84,2177.25
2025-09-22,Unit 3,82.96,2001.28
2025-09-23,Unit 1,87.37,2105.79
2025-09-23,Unit 2,100.0,2424.24
2025-09-23,Unit 3,98.53,2353.54
2025-09-24,Unit 1,95.46,2309.94
2025-09-24,Unit 2,100.0,2401.59
2025-09-24,Unit 3,81.38,1959.94
2025-09-25,Unit 1,100.0,2397.24
2025-09-25,Unit 2,84.41,2055.11
2025-09-25,Unit 3,95.08,2274.78
2025-09-26,Unit 1,86.73,2060.28
2025-09-26,Unit 2,85.85,2094.79
2025-09-26,Unit 3,78.19,1897.64
2025-09-27,Unit 1,96.19,2327.32
2025-09-27,Unit 2,80.26,1902.85
2025-09-27,Unit 3,77.2,1836.2
2025-09-28,Unit 1,86.71,2095.84
2025-09-28,Unit 2,86.57,2093.81
2025-09-28,Unit 3,95.79,2293.73
2025-09-29,Unit 1,89.6,2171.38
2025-09-29,Unit 2,80.02,1896.92
2025-09-29,Unit 3,86.52,2102.0
2025-09-30,Unit 1,100.0,2423.79
2025-09-30,Unit 2,93.96,2222.71
2025-09-30,Unit 3,89.12,2152.93
2025-10-01,Unit 1,84.88,2024.9
2025-10-01,Unit 2,86.8,2046.44
2025-10-01,Unit 3,80.17,1919.89
2025-10-02,Unit 1,87.99,2119.48
2025-10-02,Unit 2,94.14,2244.34
2025-10-02,Unit 3,100.0,2398.1
2025-10-03,Unit 1,99.11,2420.5
2025-10-03,Unit 2,100.0,2385.34
2025-10-03,Unit 3,85.26,2081.73
2025-10-04,Unit 1,79.71,1925.81
2025-10-04,Unit 2,81.29,1986.22
2025-10-04,Unit 3,79.6,1895.06
2025-10-05,Unit 1,90.49,2210.2
2025-10-05,Unit 2,97.54,2344.67
2025-10-05,Unit 3,71.16,1708.3
2025-10-06,Unit 1,81.9,1963.63
2025-10-06,Unit 2,83.01,2008.92
2025-10-06,Unit 3,80.04,1934.59
2025-10-07,Unit 1,86.74,2075.49
2025-10-07,Unit 2,99.17,2374.37
2025-10-07,Unit 3,94.37,2255.53
2025-10-08,Unit 1,81.1,1923.08
2025-10-08,Unit 2,92.02,2169.02
2025-10-08,Unit 3,96.24,2286.31
2025-10-09,Unit 1,79.04,1877.37
2025-10-09,Unit 2,81.55,1974.39
2025-10-09,Unit 3,92.9,2245.23
2025-10-10,Unit 1,91.14,2179.71
2025-10-10,Unit 2,87.95,2101.77
2025-10-10,Unit 3,94.02,2243.99
2025-10-11,Unit 1,97.5,2320.68
2025-10-11,Unit 2,90.23,2159.66
2025-10-11,Unit 3,91.93,2199.15
2025-10-12,Unit 1,94.95,2271.35
2025-10-12,Unit 2,80.5,1943.57
2025-10-12,Unit 3,83.7,2021.83
2025-10-13,Unit 1,95.25,2323.05
2025-10-13,Unit 2,77.26,1880.63
2025-10-13,Unit 3,97.5,2330.21
2025-10-14,Unit 1,100.0,2427.04
2025-10-14,Unit 2,77.64,1842.65
2025-10-14,Unit 3,80.56,1942.82
2025-10-15,Unit 1,84.35,2038.71
2025-10-15,Unit 2,100.0,2384.91
2025-10-15,Unit 3,92.37,2219.53
2025-10-16,Unit 1,75.85,1814.5
2025-10-16,Unit 2,97.85,2340.64
2025-10-16,Unit 3,82.51,1958.8
2025-10-17,Unit 1,91.06,2168.26
2025-10-17,Unit 2,95.57,2326.71
2025-10-17,Unit 3,91.77,2174.92
2025-10-18,Unit 1,94.07,2265.29
2025-10-18,Unit 2,80.29,1924.24
2025-10-18,Unit 3,92.53,2243.27
2025-10-19,Unit 1,84.73,2060.04
2025-10-19,Unit 2,89.21,2157.57
2025-10-19,Unit 3,88.76,2094.04
2025-10-20,Unit 1,98.04,2350.36
2025-10-20,Unit 2,88.75,2132.27
2025-10-20,Unit 3,83.71,2026.06
2025-10-21,Unit 1,91.38,2193.96
2025-10-21,Unit 2,83.64,1950.99
2025-10-21,Unit 3,88.63,2109.34
2025-10-22,Unit 1,80.95,1960.24
2025-10-22,Unit 2,91.27,2189.86
2025-10-22,Unit 3,80.81,1955.66
2025-10-23,Unit 1,95.58,2286.92
2025-10-23,Unit 2,87.27,2114.95
2025-10-23,Unit 3,100.0,2410.8
2025-10-24,Unit 1,97.0,2297.28
2025-10-24,Unit 2,88.99,2093.54
2025-10-24,Unit 3,90.93,2185.32
2025-10-25,Unit 1,93.55,2239.64
2025-10-25,Unit 2,95.62,2287.04
2025-10-25,Unit 3,85.19,2067.91
2025-10-26,Unit 1,89.29,2175.08
2025-10-26,Unit 2,70.1,1673.24
2025-10-26,Unit 3,91.98,2225.21
2025-10-27,Unit 1,82.8,1978.9
2025-10-27,Unit 2,75.86,1820.92
2025-10-27,Unit 3,83.29,1974.78
2025-10-28,Unit 1,84.43,2029.49
2025-10-28,Unit 2,90.46,2148.59
2025-10-28,Unit 3,70.0,1678.14
2025-10-29,Unit 1,86.6,2086.43
2025-10-29,Unit 2,93.43,2250.08
2025-10-29,Unit 3,83.92,1999.92
2025-10-30,Unit 1,92.08,2200.75
2025-10-30,Unit 2,100.0,2393.89
2025-10-30,Unit 3,94.0,2240.22
2025-10-31,Unit 1,88.82,2114.57
2025-10-31,Unit 2,94.74,2261.32
2025-10-31,Unit 3,74.74,1759.99
2025-11-01,Unit 1,81.94,1969.98
2025-11-01,Unit 2,89.77,2157.19
2025-11-01,Unit 3,85.28,2053.36
2025-11-02,Unit 1,88.06,2081.78
2025-11-02,Unit 2,82.91,2004.77
2025-11-02,Unit 3,96.49,2297.99
2025-11-03,Unit 1,83.75,2012.32
2025-11-03,Unit 2,87.12,2080.69
2025-11-03,Unit 3,90.12,2175.29
2025-11-04,Unit 1,96.36,2290.16
2025-11-04,Unit 2,82.6,1991.04
2025-11-04,Unit 3,86.69,2078.88
2025-11-05,Unit 1,89.23,2146.71
2025-11-05,Unit 2,75.13,1793.05
2025-11-05,Unit 3,78.73,1894.98
2025-11-06,Unit 1,87.0,2082.78
2025-11-06,Unit 2,90.38,2162.96
2025-11-06,Unit 3,91.96,2208.46
2025-11-07,Unit 1,93.61,2276.04
2025-11-07,Unit 2,85.48,2043.68
2025-11-07,Unit 3,84.85,2055.78
2025-11-08,Unit 1,84.32,1999.42
2025-11-08,Unit 2,100.0,2434.75
2025-11-08,Unit 3,83.39,2006.07
2025-11-09,Unit 1,85.3,2059.78
2025-11-09,Unit 2,76.27,1822.3
2025-11-09,Unit 3,99.41,2389.57
2025-11-10,Unit 1,79.48,1907.63
2025-11-10,Unit 2,74.33,1795.5
2025-11-10,Unit 3,86.79,2102.34
2025-11-11,Unit 1,88.71,2124.56
2025-11-11,Unit 2,100.0,2449.23
2025-11-11,Unit 3,81.98,1991.9
2025-11-12,Unit 1,100.0,2409.53
2025-11-12,Unit 2,94.59,2268.47
2025-11-12,Unit 3,100.0,2383.53
2025-11-13,Unit 1,98.06,2379.45
2025-11-13,Unit 2,83.31,2006.15
2025-11-13,Unit 3,87.24,2122.43
2025-11-14,Unit 1,76.85,1818.37
2025-11-14,Unit 2,70.0,1665.65
2025-11-14,Unit 3,91.05,2188.29
2025-11-15,Unit 1,79.14,1902.82
2025-11-15,Unit 2,80.38,1921.61
2025-11-15,Unit 3,100.0,2361.38
2025-11-16,Unit 1,81.39,1935.44
2025-11-16,Unit 2,88.72,2158.31
2025-11-16,Unit 3,100.0,2371.89
2025-11-17,Unit 1,79.08,1858.89
2025-11-17,Unit 2,92.15,2267.24
2025-11-17,Unit 3,97.36,2307.51
2025-11-18,Unit 1,87.9,2106.37
2025-11-18,Unit 2,97.62,2341.17
2025-11-18,Unit 3,76.83,1813.29
2025-11-19,Unit 1,100.0,2418.93
2025-11-19,Unit 2,98.49,2392.15
2025-11-19,Unit 3,88.5,2125.99
2025-11-20,Unit 1,88.31,2104.53
2025-11-20,Unit 2,91.83,2188.99
2025-11-20,Unit 3,82.41,1971.93
2025-11-21,Unit 1,84.81,2040.12
2025-11-21,Unit 2,89.43,2180.7
2025-11-21,Unit 3,98.9,2388.64
2025-11-22,Unit 1,76.79,1843.55
2025-11-22,Unit 2,93.93,2227.43
2025-11-22,Unit 3,97.79,2343.96
2025-11-23,Unit 1,100.0,2401.3
2025-11-23,Unit 2,94.03,2246.01
2025-11-23,Unit 3,87.93,2112.72
2025-11-24,Unit 1,98.76,2340.85
2025-11-24,Unit 2,86.91,2138.9
2025-11-24,Unit 3,91.27,2181.39
2025-11-25,Unit 1,76.61,1828.56
2025-11-25,Unit 2,95.1,2265.82
2025-11-25,Unit 3,93.44,2242.89
2025-11-26,Unit 1,84.63,2032.89
2025-11-26,Unit 2,95.59,2262.1
2025-11-26,Unit 3,83.16,1990.27
2025-11-27,Unit 1,95.54,2283.98
2025-11-27,Unit 2,97.87,2344.22
2025-11-27,Unit 3,90.2,2176.32
2025-11-28,Unit 1,79.97,1923.62
2025-11-28,Unit 2,92.48,2227.15
2025-11-28,Unit 3,70.0,1670.59
2025-11-29,Unit 1,100.0,2406.14
2025-11-29,Unit 2,90.08,2148.15
2025-11-29,Unit 3,99.5,2398.41
2025-11-30,Unit 1,97.43,2339.64
2025-11-30,Unit 2,85.57,2016.57
2025-11-30,Unit 3,93.52,2245.83
2025-12-01,Unit 1,89.25,2127.72
2025-12-01,Unit 2,100.0,2424.07
2025-12-01,Unit 3,87.78,2129.31
2025-12-02,Unit 1,89.25,2142.21
2025-12-02,Unit 2,71.15,1739.2
2025-12-02,Unit 3,90.12,2170.54
2025-12-03,Unit 1,95.94,2288.05
2025-12-03,Unit 2,83.97,1989.34
2025-12-03,Unit 3,77.59,1875.36
2025-12-04,Unit 1,95.92,2321.29
2025-12-04,Unit 2,73.54,1770.45
2025-12-04,Unit 3,94.86,2255.11
2025-12-05,Unit 1,100.0,2378.14
2025-12-05,Unit 2,84.06,2030.47
2025-12-05,Unit 3,94.17,2275.59
2025-12-06,Unit 1,89.49,2146.27
2025-12-06,Unit 2,90.02,2164.12
2025-12-06,Unit 3,98.45,2370.76
2025-12-07,Unit 1,96.26,2331.04
2025-12-07,Unit 2,81.53,1962.98
2025-12-07,Unit 3,87.84,2108.38
2025-12-08,Unit 1,89.32,2134.56
2025-12-08,Unit 2,100.0,2381.49
2025-12-08,Unit 3,94.85,2288.16
2025-12-09,Unit 1,98.68,2360.47
2025-12-09,Unit 2,88.84,2106.14
2025-12-09,Unit 3,97.19,2355.22
2025-12-10,Unit 1,90.83,2140.42
2025-12-10,Unit 2,89.34,2140.1
2025-12-10,Unit 3,94.85,2268.5
2025-12-11,Unit 1,89.18,2167.56
2025-12-11,Unit 2,86.16,2100.52
2025-12-11,Unit 3,93.11,2229.25
2025-12-12,Unit 1,93.5,2241.09
2025-12-12,Unit 2,74.35,1779.46
2025-12-12,Unit 3,94.78,2311.59
2025-12-13,Unit 1,100.0,2386.14
2025-12-13,Unit 2,85.01,2043.59
2025-12-13,Unit 3,80.94,1916.07
2025-12-14,Unit 1,92.19,2200.52
2025-12-14,Unit 2,88.24,2122.57
2025-12-14,Unit 3,100.0,2404.9
2025-12-15,Unit 1,91.32,2200.36
2025-12-15,Unit 2,91.77,2214.0
2025-12-15,Unit 3,100.0,2427.59
2025-12-16,Unit 1,90.37,2183.85
2025-12-16,Unit 2,86.52,2046.91
2025-12-16,Unit 3,100.0,2379.99
2025-12-17,Unit 1,86.03,2058.37
2025-12-17,Unit 2,86.94,2087.53
2025-12-17,Unit 3,70.86,1697.7
2025-12-18,Unit 1,100.0,2408.7
2025-12-18,Unit 2,90.96,2178.85
2025-12-18,Unit 3,81.4,1933.85
2025-12-19,Unit 1,86.32,2064.95
2025-12-19,Unit 2,81.08,1940.31
2025-12-19,Unit 3,100.0,2395.3
2025-12-20,Unit 1,88.06,2092.45
2025-12-20,Unit 2,98.93,2371.09
2025-12-20,Unit 3,87.25,2074.02
2025-12-21,Unit 1,83.6,1988.86
2025-12-21,Unit 2,94.2,2272.63
2025-12-21,Unit 3,87.34,2109.33
2025-12-22,Unit 1,89.34,2110.05
2025-12-22,Unit 2,83.6,2005.99
2025-12-22,Unit 3,90.28,2145.06
2025-12-23,Unit 1,91.99,2208.52
2025-12-23,Unit 2,92.74,2237.59
2025-12-23,Unit 3,88.07,2132.51
2025-12-24,Unit 1,83.92,2023.29
2025-12-24,Unit 2,78.76,1874.43
2025-12-24,Unit 3,100.0,2403.32
2025-12-25,Unit 1,79.86,1912.6
2025-12-25,Unit 2,86.77,2112.61
2025-12-25,Unit 3,100.0,2377.3
2025-12-26,Unit 1,95.73,2322.2
2025-12-26,Unit 2,93.0,2214.79
2025-12-26,Unit 3,84.52,2009.95
2025-12-27,Unit 1,83.28,1985.27
2025-12-27,Unit 2,87.62,2111.86
2025-12-27,Unit 3,85.58,2032.68
2025-12-28,Unit 1,91.5,2192.11
2025-12-28,Unit 2,95.36,2280.42
2025-12-28,Unit 3,96.75,2303.13
2025-12-29,Unit 1,92.52,2232.96
2025-12-29,Unit 2,80.18,1932.44
2025-12-29,Unit 3,100.0,2377.25
2025-12-30,Unit 1,92.64,2234.46
2025-12-30,Unit 2,86.62,2073.55
2025-12-30,Unit 3,100.0,2380.67
2025-12-31,Unit 1,88.72,2123.59
2025-12-31,Unit 2,97.25,2305.08
2025-12-31,Unit 3,97.96,2349.51
